Grupp;L0;L1;L2;L3;L4;L5;Snitt
Avancerad nivå;2883;9064;6986;6386;7216;4571;2.5
Avancerad nivå exjobb;824;1159;1537;1219;1841;1703;2.9
Grundnivå;4621;17914;12318;7845;8720;5987;2.2
Grundnivåexjobb;354;1085;1136;798;1124;817;2.7
