Grupp;L0;L1;L2;L3;L4;L5;Snitt
KTH;1884;5033;4851;1926;3129;2723;2.4
Mittuniversitetet;1943;6839;5226;2352;3839;2525;2.3
SU;3242;11430;6939;5223;7057;4431;2.4
UmU;1998;7290;5656;3435;5001;2961;2.4
