Grupp;L0;L1;L2;L3;L4;L5;Snitt
Humaniora och teologi;2570;7076;4564;4186;4043;2692;2.3
Juridik och samhällsvetenskap;3619;8559;6408;6151;7757;4394;2.5
Naturvetenskap;1500;4217;3848;1745;1873;1859;2.1
Teknik;3124;4168;5444;3069;3117;3370;2.4
