Grupp;L0;L1;L2;L3;L4;L5;Snitt
Avancerad nivå;3779;8454;7299;6476;7526;4668;2.5
Avancerad nivå-exjobb;1079;909;1551;1220;1833;1719;2.8
Grundnivå;7116;16368;12921;8214;9233;6238;2.2
Grundnivå-exjobb;489;1003;1155;819;1147;825;2.7
