code;syll_lang_swe;syll_lang_eng;content;goals_swe;goals_eng;eligibility;literature;exam_comments;req_for_grade;valid_from;equipment;instruction_lang;cycle;credits;title_swe;title_eng;grade_scale;department;examiner;n_exam_modules;n_course_subjects;ethics_keywords;n_rows;n_ilos;n_higher_grade_ilos;n_purpose_ilos;bloom_knowledge;bloom_comprehension;bloom_application;bloom_analysis;bloom_evaluation;bloom_synthesis;total_highest_bloom
SD2180;english;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Leif Kari);1;0;0;0;0;0;0;0;0;0;0;0;0;-1
SD2190;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;PF;SCI/Farkost och flyg;(Peter Göransson);1;0;0;8;5;0;0;0;0;2;1;0;0;3
SD2191;swedish;english;1;1;1;1;0;0;0;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Peter Göransson);2;0;0;8;5;0;0;0;0;2;1;0;0;3
SD221X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Annika Stensson Trigell,Ciarán O'Reilly,Jenny Jerrelind,Lars Drugge,Malte Rothhämel,Mikael Nybacka);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2221;english;english;1;1;1;1;1;0;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Farkost och flyg;(Annika Stensson Trigell,Malte Rothhämel);2;1;0;0;0;0;0;0;0;0;0;0;0;-1
SD2222;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Farkost och flyg;(Lars Drugge);2;0;0;8;7;0;0;0;2;4;0;0;1;5
SD2225;swedish;english;1;1;1;1;1;0;1;0;0;Engelska;2;11.0;1;1;AF;SCI/Farkost och flyg;(Jenny Jerrelind);2;1;0;15;13;0;0;0;2;4;3;0;4;5
SD2229;swedish;english;1;1;1;1;0;1;0;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Mikael Nybacka);1;1;0;6;4;0;0;1;0;1;0;0;2;5
SD2230;swedish;english;1;1;1;1;0;1;0;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Mikael Nybacka);1;1;0;6;4;0;0;1;0;1;0;0;2;5
SD2231;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Mikael Nybacka);3;1;0;7;6;0;0;0;0;0;0;0;5;5
SD2250;swedish;english;1;1;1;1;0;0;0;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Ciarán O'Reilly);2;0;0;4;3;0;0;0;0;1;0;2;0;4
SD2307;english;english;1;1;1;1;1;1;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Carlos Casanueva Perez);2;0;0;0;0;0;0;0;0;0;0;0;0;-1
SD2313;swedish;english;1;1;1;1;1;0;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Farkost och flyg;(Sebastian Stichel);3;1;0;11;9;0;0;0;2;5;0;2;0;4
SD231X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Carlos Casanueva Perez,Mats Berg,Sebastian Stichel);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2320;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;7.5;1;1;PF;SCI/Farkost och flyg;(Carlos Casanueva Perez);1;0;0;5;4;0;0;0;1;2;0;1;0;4
SD2411;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Farkost och flyg;(Stefan Hallström);3;0;0;9;7;0;0;0;2;1;2;1;1;5
SD2413;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Dan Zenkert);2;0;0;8;4;2;0;0;0;1;2;0;1;5
SD2414;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Malin Åkermo);3;0;0;8;6;0;0;0;1;2;1;0;2;5
SD2415;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Malin Åkermo);2;0;0;10;8;0;0;0;1;3;0;0;4;5
SD2416;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Per Wennhage);2;0;0;5;4;0;0;0;1;2;0;0;1;5
SD241X;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;30.0;1;1;PF;SCI/Farkost och flyg;(Dan Zenkert,Malin Åkermo,Per Wennhage,Stefan Hallström,Zuheir Barsoum);1;1;1;8;8;0;0;0;1;2;0;2;2;5
SD2420;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;6.0;1;1;PF;SCI/Farkost och flyg;(Zuheir Barsoum);3;0;0;7;0;0;6;0;0;0;0;0;0;-1
SD2432;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;20.0;1;1;AF;SCI/Farkost och flyg;(Jakob Kuttenkeuler,Stefan Hallström);4;0;0;10;8;0;0;1;1;5;0;1;0;4
SD2461;swedish;english;1;1;1;1;0;1;0;0;0;Engelska;2;10.0;1;1;AF;SCI/Farkost och flyg;(Stefan Hallström);1;0;0;6;5;0;0;0;2;1;0;0;1;5
SD2465;swedish;english;1;1;1;1;0;1;0;0;0;Engelska;2;3.0;1;1;AF;SCI/Farkost och flyg;(Stefan Hallström);1;1;0;6;5;0;0;0;2;1;0;0;1;5
SD2601;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Raffaello Mariani);3;0;0;6;4;0;0;0;1;1;0;1;1;5
SD2620;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Evelyn Otero Sola,Raffaello Mariani,Ulf Ringertz);1;0;0;4;2;0;0;0;1;0;0;0;0;1
SD2702;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;20.0;1;1;AF;SCI/Farkost och flyg;(Jakob Kuttenkeuler,Stefan Hallström);4;0;0;8;7;0;0;1;1;4;0;1;0;4
SD2705;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Anders Rosén);1;1;0;19;12;0;0;0;1;0;0;1;5;5
SD2706;swedish;english;1;1;1;1;1;0;1;0;1;Engelska;2;6.0;1;1;AF;SCI/Farkost och flyg;(Jakob Kuttenkeuler);1;1;0;9;8;0;0;0;4;1;0;0;2;5
SD2709;english;english;1;1;1;1;0;1;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Farkost och flyg;(Ivan Stenius);1;1;0;0;0;0;0;0;0;0;0;0;0;-1
SD2711;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;10.0;1;1;AF;SCI/Farkost och flyg;(Jakob Kuttenkeuler,Stefan Hallström);1;1;0;8;7;0;0;1;1;4;0;1;0;4
