Grupp;L0;L1;L2;L3;L4;L5;Snitt
Humaniora och teologi;2574;7089;4597;4207;4055;2693;2.3
Juridik och samhällsvetenskap;3630;8589;6429;6156;7782;4389;2.5
Naturvetenskap;1502;4259;3862;1757;1881;1853;2.1
Teknik;3131;4185;5481;3068;3146;3359;2.4
