Grupp;L0;L1;L2;L3;L4;L5;Snitt
0–5 hp;202;712;492;275;459;338;2.3
5,5–10 hp;1890;8729;5432;3401;4472;2881;2.3
10,5–15 hp;1087;2435;2252;1289;2052;1667;2.5
>15 hp;1947;4587;3614;2184;3203;2268;2.6
