Grupp;L0;L1;L2;L3;L4;L5;Snitt
Humaniora och teologi;1765;7036;4188;3924;3657;2511;2.3
Juridik och samhällsvetenskap;2769;9169;6073;5997;7443;4110;2.5
Naturvetenskap;1164;4552;3808;1728;1850;1857;2.2
Teknik;1821;5303;5252;3024;3048;3427;2.5
